Ticker Symbol,Name,Stock Exchange,Type,Sub Type,Web Address,
ACH,CenterTrust Retail Properties Inc.,AMEX,Equity,Strip,,   
ADC,Agree Realty Corporation,NYSE,Equity,Strip,,   
AEC,Associated Estates Realty Corporation,NYSE,Equity,Apartment,www.aecrealty.com,   
AER,Aegis Realty Inc,AMEX,Equity,Diversified,,   
AHE,American Health Properties Inc,NYSE,Equity,Healthcare,www.amhp.com,   
AHR,Anthracite Capital Inc,NYSE,Mortgage,Mortgage Backed,,   
AIC,Asset Investors Corporation,NYSE,Equity,Mfd Hm,,   
AIV,Apartment Investment and Management Co,NYSE,Equity,Apartment,www.aimco.com,   
AKR,Acadia Realty Trust,NYSE,Equity,Strip,www.markcenters.com,   
ALX,Alexander's Inc,NYSE,Equity,Freestanding,,   
AMB,AMB Property Corporation,NYSE,Equity,Industrial,www.ambco.com,   
AMCT,Amresco Capital Trust,NASDA,Mortgage,MtgBacked,,   
AML,AMLI Residential Properties Trust,NYSE,Equity,Apartment,www.amlires.com,   
ANH,Anworth Mortgage Asset Corporation,AMEX,Mortgage,MtgBacked,,   
APT,Starwood Financial Trust,AMEX,Mortgage,Hotel,,   
ARE,Alexandria Real Estate Equities,NYSE,Equity,Office,,   
ARI,Arden Realty Group Inc.,NYSE,Equity,Office,,   
ASN,Archstone Communities Trust,NYSE,Equity,Apartment,,   
ATLRS,Atlantic Realty Trust,NASDA,Mortgage,Retail,,   
AVB,Avalonbay Communities Inc,NYSE,Equity,Apartment,www.avalonbay.com,   
AXM,Apex Mortgage Capital Inc,NYSE,Mortgage,Mortgage Backed,,   
AZL,Arizona Land Income Corporation,AMEX,Mortgage,Diversified,,   
BDN,Brandywine Realty Trust,NYSE,Equity,Mixed,www.brandywinerealty.com,   
BDN,Brandywine Realty Trust,NYSE,Equity,Office,www.brandywinerealty.com,   
BED,Bedford Properties Investors Inc,NYSE,Equity,Mixed,www.bedfordproperties.com,   
BED,Bedford Property Investors Inc,NYSE,Equity,Mixed,www.bedfordproperty.com,   
BFS,Saul Centers Inc,NYSE,Equity,Strip,,   
BMCC,Bando McGlocklin Capital Corporation,NASDA,Mortgage,Diversified,,   
BNP,Boddie-Noell Properties Inc,AMEX,Equity,Diversified,,   
BOY,Boykin Lodging Company,NYSE,Equity,Hotel,,   
BPP,Burnham Pacific Properties Inc,NYSE,Equity,Strip,www.burnhampac.com,   
BRE,BRE Properties Inc,NYSE,Equity,Apartment,www.breproperties.com,   
BRI,Berkshire Realty Co Inc,NYSE,Equity,Apartment,www.brireit.com,   
BRT,BRT Realty Trust,NYSE,Mortgage,Diversified,,   
BSRTS,Banyan Strategic Realty Trust,NASDA,Equity,Diversified,www.banyanreit.com,   
BTR,Bradley Real Estate Inc,NYSE,Equity,Strip,,   
BXP,"Boston Properties, Inc.",NYSE,Equity,Office,,   
CAA,Capital Alliance Income Trust,AMEX,Mortgage,Diversified,,   
CARS,Capital Automotive REIT,NASDA,Equity,Car Dealerships,,   
CAX,Commercial Assets Inc,AMEX,Mortgage,Diversified,,   
CBL,CBL & Associates Properties Inc,NYSE,Equity,Regional Mall,,   
CCG,Chelsea GCA Realty Inc,NYSE,Equity,Outlet,www.chelseagca.com,   
CCPC,Chevy Chase Preferred Capital Corp,NYSE,Mortgage,MtgBacked,,   
CCT,Capstone Capital Corporation,NYSE,Equity,Healthcare,,   
CEI,Crescent Real Estate Equities Company,NYSE,Equity,Diversified,www.cei-crescent.com,   
CFP,California Federal Preferred Capital Corp,NYSE,Mortgage,MtgBacked,,   
CHAS,Chastain Capital Corporation,NASDA,Mortgage,MtgBacked,,   
